Model,Accuracy,BalancedAccuracy,F1Up,ROCAUC,TrainingSeconds,BestEpoch
LSTM baseline,0.49489795918367346,0.5311447811447811,0.2773722627737226,0.5701809764309764,3.1782132,3
HybridQNN1,0.5510204081632653,0.5,0.7105263157894737,0.4312920875420875,39.2852603,2
HybridQNN2,0.5153061224489796,0.5454545454545454,0.3624161073825503,0.5647095959595959,45.027167399999996,2
