Model,Accuracy,BalancedAccuracy,F1Up,ROCAUC,TrainingSeconds,BestEpoch
LSTM baseline,0.5,0.5,0.6666666666666666,0.5,1.0739218999999998,1
HybridQNN1,0.5,0.5,0.0,0.875,1.1834714000000002,1
HybridQNN2,0.5,0.5,0.6666666666666666,0.59375,1.3059070999999998,1
